=== (A) p not dividing N: is the second layer the square of the first? ===
m     q      p  q'  d   W_1  W_2  dim(V*V) | W_2=d  W_2=dim(V*V)
2     45     3  5   2   2    2    2        | True   True
4     45     3  5   2   2    2    2        | True   True
5     45     3  5   2   2    2    2        | True   True
9     45     3  5   2   2    2    2        | True   True
10    45     3  5   2   2    2    2        | True   True
2     35     7  5   2   2    2    2        | True   True
4     35     7  5   2   2    2    2        | True   True
5     35     7  5   2   2    2    2        | True   True
7     35     7  5   2   2    2    2        | True   True
9     35     7  5   2   2    2    2        | True   True
10    35     7  5   2   2    2    2        | True   True
14    35     7  5   2   2    2    2        | True   True
15    35     7  5   2   2    2    2        | True   True
3     63     3  7   3   2    3    3        | True   True
6     63     3  7   3   3    3    3        | True   True
7     63     3  7   3   3    3    3        | True   True
13    63     3  7   3   3    3    3        | True   True
14    63     3  7   3   3    3    3        | True   True
3     35     5  7   3   2    3    3        | True   True
6     35     5  7   3   3    3    3        | True   True
7     35     5  7   3   3    3    3        | True   True
10    35     5  7   3   2    3    3        | True   True
13    35     5  7   3   3    3    3        | True   True
14    35     5  7   3   3    3    3        | True   True
20    175    5  7   3   3    3    3        | True   True
21    175    5  7   3   3    3    3        | True   True
4     45     5  9   3   3    3    3        | True   True
8     45     5  9   3   3    3    3        | True   True
9     45     5  9   3   3    3    3        | True   True
13    45     5  9   3   3    3    3        | True   True
17    45     5  9   3   3    3    3        | True   True
18    45     5  9   3   3    3    3        | True   True
26    225    5  9   3   3    3    3        | True   True
27    225    5  9   3   3    3    3        | True   True
4     63     7  9   3   3    3    3        | True   True
8     63     7  9   3   3    3    3        | True   True
9     63     7  9   3   3    3    3        | True   True
13    63     7  9   3   3    3    3        | True   True
17    63     7  9   3   3    3    3        | True   True
18    63     7  9   3   3    3    3        | True   True
26    63     7  9   3   3    3    3        | True   True
27    63     7  9   3   3    3    3        | True   True
5     99     3  11  5   5    5    5        | True   True
10    99     3  11  5   5    5    5        | True   True
11    99     3  11  5   5    5    5        | True   True
21    99     3  11  5   5    5    5        | True   True
22    99     3  11  5   5    5    5        | True   True
5     55     5  11  5   5    5    5        | True   True
