p=3 a=1 n= 5 M= 1 v=2 q=45 m=7 d=2 | W=[1, 0, 1, 2] | ladder OK | W_P=2 W1(A_2(15))=2 rank=2 OK | dB[P]=4 1+a+W1=4 OK | m^2=0 True | 0.0s
p=5 a=1 n= 7 M= 1 v=2 q=175 m=17 d=3 | W=[1, 0, 0, 0, 1, 2] | ladder OK | W_P=2 W1(A_3(35))=2 rank=2 OK | dB[P]=4 1+a+W1=4 OK | m^2=0 True | 0.0s
p=3 a=2 n= 5 M= 1 v=3 q=135 m=22 d=2 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | ladder OK | W_P=2 W1(A_2(15))=2 rank=2 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.0s
p=3 a=1 n= 5 M=11 v=4 q=405 m=82 d=2 | W=[1, 0, 1, 2] | ladder OK | W_P=2 W1(A_27(135))=2 rank=2 OK | dB[P]=4 1+a+W1=4 OK | m^2=0 True | 0.0s
p=5 a=1 n=11 M= 1 v=2 q=275 m=27 d=5 | W=[1, 0, 0, 0, 1, 5] | ladder OK | W_P=5 W1(A_5(55))=5 rank=5 OK | dB[P]=7 1+a+W1=7 OK | m^2=0 True | 0.0s
p=5 a=1 n= 7 M= 3 v=2 q=175 m=52 d=3 | W=[1, 0, 0, 0, 1, 2] | ladder OK | W_P=2 W1(A_10(35))=2 rank=2 OK | dB[P]=4 1+a+W1=4 OK | m^2=0 True | 0.1s
p=11 a=1 n= 7 M= 1 v=2 q=847 m=38 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2] | ladder OK | W_P=2 W1(A_3(77))=2 rank=2 OK | dB[P]=4 1+a+W1=4 OK | m^2=0 True | 0.0s
p=3 a=1 n=23 M= 1 v=2 q=207 m=34 d=11 | W=[1, 0, 1, 10] | ladder OK | W_P=10 W1(A_11(69))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.0s
p=7 a=1 n=15 M= 1 v=2 q=735 m=52 d=4 | W=[1, 0, 0, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_7(105))=3 rank=3 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.0s
p=5 a=1 n=17 M= 1 v=2 q=425 m=42 d=8 | W=[1, 0, 0, 0, 1, 8] | ladder OK | W_P=8 W1(A_8(85))=8 rank=8 OK | dB[P]=10 1+a+W1=10 OK | m^2=0 True | 0.0s
p=7 a=1 n= 9 M= 3 v=2 q=441 m=94 d=3 | W=[1, 0, 0, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_13(63))=3 rank=3 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.0s
p=3 a=2 n=11 M= 1 v=3 q=297 m=49 d=5 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | ladder OK | W_P=5 W1(A_5(33))=5 rank=5 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 0.0s
p=3 a=1 n=31 M= 1 v=2 q=279 m=46 d=15 | W=[1, 0, 1, 12] | ladder OK | W_P=12 W1(A_15(93))=12 rank=12 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 0.1s
p=3 a=1 n=13 M= 7 v=3 q=351 m=136 d=6 | W=[1, 0, 1, 6] | ladder OK | W_P=6 W1(A_45(117))=6 rank=6 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 0.2s
p=5 a=1 n=13 M= 3 v=2 q=325 m=97 d=6 | W=[1, 0, 0, 0, 1, 6] | ladder OK | W_P=6 W1(A_19(65))=6 rank=6 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 0.1s
p=3 a=3 n= 5 M= 1 v=4 q=405 m=67 d=2 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | ladder OK | W_P=2 W1(A_2(15))=2 rank=2 OK | dB[P]=6 1+a+W1=6 OK | m^2=0 True | 0.1s
p=11 a=1 n=15 M= 1 v=2 q=1815 m=82 d=4 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_7(165))=3 rank=3 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.1s
p=3 a=1 n=11 M=13 v=4 q=891 m=214 d=5 | W=[1, 0, 1, 5] | ladder OK | W_P=5 W1(A_71(297))=5 rank=5 OK | dB[P]=7 1+a+W1=7 OK | m^2=0 True | 0.1s
p=3 a=2 n= 7 M= 5 v=4 q=567 m=157 d=3 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | ladder OK | W_P=2 W1(A_17(63))=2 rank=2 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.1s
p=7 a=1 n=15 M= 3 v=2 q=735 m=157 d=4 | W=[1, 0, 0, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_22(105))=3 rank=3 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.2s
p=5 a=1 n= 9 M=13 v=3 q=1125 m=292 d=3 | W=[1, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_58(225))=3 rank=3 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.2s
p=5 a=1 n=11 M= 7 v=3 q=1375 m=192 d=5 | W=[1, 0, 0, 0, 1, 5] | ladder OK | W_P=5 W1(A_38(275))=5 rank=5 OK | dB[P]=7 1+a+W1=7 OK | m^2=0 True | 0.2s
p=3 a=2 n=17 M= 1 v=3 q=459 m=76 d=8 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 8] | ladder OK | W_P=8 W1(A_8(51))=8 rank=8 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.2s
p=7 a=1 n=27 M= 1 v=2 q=1323 m=94 d=9 | W=[1, 0, 0, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_13(189))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.1s
p=7 a=1 n=25 M= 1 v=2 q=1225 m=87 d=10 | W=[1, 0, 0, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_12(175))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.1s
p=3 a=1 n=25 M= 5 v=3 q=675 m=187 d=10 | W=[1, 0, 1, 10] | ladder OK | W_P=10 W1(A_62(225))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.2s
p=7 a=1 n=11 M= 5 v=2 q=539 m=192 d=5 | W=[1, 0, 0, 0, 0, 0, 1, 5] | ladder OK | W_P=5 W1(A_27(77))=5 rank=5 OK | dB[P]=7 1+a+W1=7 OK | m^2=0 True | 0.2s
p=7 a=1 n= 9 M=11 v=3 q=3087 m=346 d=3 | W=[1, 0, 0, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_49(441))=3 rank=3 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.2s
p=11 a=1 n= 9 M= 5 v=2 q=1089 m=247 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_22(99))=3 rank=3 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.3s
p=7 a=1 n=33 M= 1 v=2 q=1617 m=115 d=10 | W=[1, 0, 0, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_16(231))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.2s
p=3 a=1 n=25 M= 7 v=3 q=675 m=262 d=10 | W=[1, 0, 1, 10] | ladder OK | W_P=10 W1(A_87(225))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.3s
p=7 a=1 n=13 M= 5 v=2 q=637 m=227 d=6 | W=[1, 0, 0, 0, 0, 0, 1, 6] | ladder OK | W_P=6 W1(A_32(91))=6 rank=6 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 0.3s
p=3 a=1 n=19 M=11 v=4 q=1539 m=313 d=9 | W=[1, 0, 1, 9] | ladder OK | W_P=9 W1(A_104(513))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.4s
p=7 a=1 n=17 M= 3 v=2 q=833 m=178 d=8 | W=[1, 0, 0, 0, 0, 0, 1, 8] | ladder OK | W_P=8 W1(A_25(119))=8 rank=8 OK | dB[P]=10 1+a+W1=10 OK | m^2=0 True | 0.2s
p=3 a=2 n= 7 M=13 v=5 q=1701 m=409 d=3 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | ladder OK | W_P=2 W1(A_45(189))=2 rank=2 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 0.3s
p=5 a=1 n=13 M=11 v=3 q=1625 m=357 d=6 | W=[1, 0, 0, 0, 1, 6] | ladder OK | W_P=6 W1(A_71(325))=6 rank=6 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 0.4s
p=3 a=1 n=19 M=13 v=4 q=1539 m=370 d=9 | W=[1, 0, 1, 9] | ladder OK | W_P=9 W1(A_123(513))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.4s
p=5 a=1 n=33 M= 3 v=2 q=825 m=247 d=10 | W=[1, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_49(165))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.4s
p=11 a=1 n=27 M= 1 v=2 q=3267 m=148 d=9 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_13(297))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.4s
p=3 a=1 n=23 M=11 v=4 q=1863 m=379 d=11 | W=[1, 0, 1, 10] | ladder OK | W_P=10 W1(A_126(621))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.5s
p=3 a=2 n=13 M= 5 v=4 q=1053 m=292 d=6 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | ladder OK | W_P=6 W1(A_32(117))=6 rank=6 OK | dB[P]=9 1+a+W1=9 OK | m^2=0 True | 0.4s
p=11 a=1 n= 7 M=13 v=3 q=9317 m=500 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2] | ladder OK | W_P=2 W1(A_45(847))=2 rank=2 OK | dB[P]=4 1+a+W1=4 OK | m^2=0 True | 0.5s
p=3 a=2 n=35 M= 1 v=3 q=945 m=157 d=12 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 11] | ladder OK | W_P=11 W1(A_17(105))=11 rank=11 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 0.4s
p=3 a=1 n=31 M= 7 v=3 q=837 m=325 d=15 | W=[1, 0, 1, 12] | ladder OK | W_P=12 W1(A_108(279))=12 rank=12 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 0.5s
p=7 a=1 n=27 M= 3 v=2 q=1323 m=283 d=9 | W=[1, 0, 0, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_40(189))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.5s
p=3 a=2 n=31 M= 1 v=3 q=837 m=139 d=15 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 12] | ladder OK | W_P=12 W1(A_15(93))=12 rank=12 OK | dB[P]=15 1+a+W1=15 OK | m^2=0 True | 0.5s
p=7 a=1 n=23 M= 3 v=2 q=1127 m=241 d=11 | W=[1, 0, 0, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_34(161))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.5s
p=7 a=1 n=19 M= 5 v=2 q=931 m=332 d=9 | W=[1, 0, 0, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_47(133))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.7s
p=11 a=1 n=21 M= 3 v=2 q=2541 m=346 d=6 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5] | ladder OK | W_P=5 W1(A_31(231))=5 rank=5 OK | dB[P]=7 1+a+W1=7 OK | m^2=0 True | 0.8s
p=5 a=2 n= 9 M= 3 v=3 q=1125 m=337 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_13(45))=3 rank=3 OK | dB[P]=6 1+a+W1=6 OK | m^2=0 True | 0.7s
p=11 a=1 n=29 M= 1 v=2 q=3509 m=159 d=14 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14] | ladder OK | W_P=14 W1(A_14(319))=14 rank=14 OK | dB[P]=16 1+a+W1=16 OK | m^2=0 True | 0.7s
p=11 a=1 n=35 M= 1 v=2 q=4235 m=192 d=12 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11] | ladder OK | W_P=11 W1(A_17(385))=11 rank=11 OK | dB[P]=13 1+a+W1=13 OK | m^2=0 True | 0.6s
p=5 a=1 n=19 M=11 v=3 q=2375 m=522 d=9 | W=[1, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_104(475))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.8s
