p=3 a=1 n= 5 M=1 v=2 q=45 m=7 d=2 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=2)=2 OK [0.1s]
p=3 a=1 n= 5 M=1 v=3 q=135 m=7 d=2 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=2)=2 OK [0.0s]
p=3 a=1 n= 5 M=5 v=3 q=135 m=37 d=2 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=12)=2 OK [0.0s]
p=3 a=1 n= 5 M=5 v=4 q=405 m=37 d=2 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=12)=2 OK [0.0s]
p=3 a=1 n= 5 M=7 v=3 q=135 m=52 d=2 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=1 n= 5 M=7 v=4 q=405 m=52 d=2 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=1 n= 7 M=1 v=2 q=63 m=10 d=3 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.0s]
p=3 a=1 n= 7 M=1 v=3 q=189 m=10 d=3 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.0s]
p=3 a=1 n= 7 M=5 v=3 q=189 m=52 d=3 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=1 n= 7 M=5 v=4 q=567 m=52 d=3 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=1 n= 7 M=7 v=3 q=189 m=73 d=3 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=24)=2 OK [0.0s]
p=3 a=1 n= 7 M=7 v=4 q=567 m=73 d=3 | W[0..P]=[1, 0, 1, 2] | stair OK | W_P=2 rank(m'=24)=2 OK [0.0s]
p=3 a=1 n=11 M=1 v=2 q=99 m=16 d=5 | W[0..P]=[1, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.0s]
p=3 a=1 n=11 M=1 v=3 q=297 m=16 d=5 | W[0..P]=[1, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.0s]
p=3 a=1 n=11 M=5 v=3 q=297 m=82 d=5 | W[0..P]=[1, 0, 1, 5] | stair OK | W_P=5 rank(m'=27)=5 OK [0.0s]
p=3 a=1 n=11 M=5 v=4 q=891 m=82 d=5 | W[0..P]=[1, 0, 1, 5] | stair OK | W_P=5 rank(m'=27)=5 OK [0.0s]
p=3 a=1 n=11 M=7 v=3 q=297 m=115 d=5 | W[0..P]=[1, 0, 1, 5] | stair OK | W_P=5 rank(m'=38)=5 OK [0.0s]
p=3 a=1 n=11 M=7 v=4 q=891 m=115 d=5 | W[0..P]=[1, 0, 1, 5] | stair OK | W_P=5 rank(m'=38)=5 OK [0.0s]
p=3 a=1 n=13 M=1 v=2 q=117 m=19 d=6 | W[0..P]=[1, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.1s]
p=3 a=1 n=13 M=1 v=3 q=351 m=19 d=6 | W[0..P]=[1, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.0s]
p=3 a=1 n=13 M=5 v=3 q=351 m=97 d=6 | W[0..P]=[1, 0, 1, 6] | stair OK | W_P=6 rank(m'=32)=6 OK [0.0s]
p=3 a=1 n=13 M=5 v=4 q=1053 m=97 d=6 | W[0..P]=[1, 0, 1, 6] | stair OK | W_P=6 rank(m'=32)=6 OK [0.0s]
p=3 a=1 n=13 M=7 v=3 q=351 m=136 d=6 | W[0..P]=[1, 0, 1, 6] | stair OK | W_P=6 rank(m'=45)=6 OK [0.0s]
p=3 a=1 n=13 M=7 v=4 q=1053 m=136 d=6 | W[0..P]=[1, 0, 1, 6] | stair OK | W_P=6 rank(m'=45)=6 OK [0.0s]
p=3 a=1 n=17 M=1 v=2 q=153 m=25 d=8 | W[0..P]=[1, 0, 1, 8] | stair OK | W_P=8 rank(m'=8)=8 OK [0.0s]
p=3 a=1 n=17 M=5 v=3 q=459 m=127 d=8 | W[0..P]=[1, 0, 1, 8] | stair OK | W_P=8 rank(m'=42)=8 OK [0.0s]
p=3 a=1 n=17 M=7 v=3 q=459 m=178 d=8 | W[0..P]=[1, 0, 1, 8] | stair OK | W_P=8 rank(m'=59)=8 OK [0.0s]
p=3 a=2 n= 5 M=1 v=3 q=135 m=22 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=2)=2 OK [0.0s]
p=3 a=2 n= 5 M=1 v=4 q=405 m=22 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=2)=2 OK [0.0s]
p=3 a=2 n= 5 M=5 v=4 q=405 m=112 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=12)=2 OK [0.0s]
p=3 a=2 n= 5 M=5 v=5 q=1215 m=112 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=12)=2 OK [0.0s]
p=3 a=2 n= 5 M=7 v=4 q=405 m=157 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=2 n= 5 M=7 v=5 q=1215 m=157 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=2 n= 7 M=1 v=3 q=189 m=31 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.0s]
p=3 a=2 n= 7 M=1 v=4 q=567 m=31 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.0s]
p=3 a=2 n= 7 M=5 v=4 q=567 m=157 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=2 n= 7 M=5 v=5 q=1701 m=157 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.0s]
p=3 a=2 n= 7 M=7 v=4 q=567 m=220 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=24)=2 OK [0.0s]
p=3 a=2 n= 7 M=7 v=5 q=1701 m=220 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=24)=2 OK [0.1s]
p=3 a=2 n=11 M=1 v=3 q=297 m=49 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.0s]
p=3 a=2 n=11 M=1 v=4 q=891 m=49 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.0s]
p=3 a=2 n=11 M=5 v=4 q=891 m=247 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=27)=5 OK [0.1s]
p=3 a=2 n=11 M=5 v=5 q=2673 m=247 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=27)=5 OK [0.1s]
p=3 a=2 n=11 M=7 v=4 q=891 m=346 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=38)=5 OK [0.1s]
p=3 a=2 n=11 M=7 v=5 q=2673 m=346 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=38)=5 OK [0.1s]
p=3 a=2 n=13 M=1 v=3 q=351 m=58 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.0s]
p=3 a=2 n=13 M=1 v=4 q=1053 m=58 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.0s]
p=3 a=2 n=13 M=5 v=4 q=1053 m=292 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=32)=6 OK [0.2s]
p=3 a=2 n=13 M=5 v=5 q=3159 m=292 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=32)=6 OK [0.2s]
p=3 a=2 n=13 M=7 v=4 q=1053 m=409 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=45)=6 OK [0.2s]
p=3 a=2 n=13 M=7 v=5 q=3159 m=409 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=45)=6 OK [0.2s]
