n= 5 p= 3 N= 1 v=2 q=45 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n= 5 p= 7 N= 1 v=1 q=35 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n= 5 p=11 N= 1 v=1 q=55 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n= 5 p=13 N= 1 v=1 q=65 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n= 5 p=17 N= 1 v=1 q=85 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n= 5 p=19 N= 1 v=1 q=95 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n= 5 p=23 N= 1 v=1 q=115 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n= 5 p=29 N= 1 v=1 q=145 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n= 5 p=31 N= 1 v=1 q=155 m=2 d=2 t=4 delta=0 p|n-1=False | W=[1, 2, 2] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n= 7 p= 3 N= 1 v=2 q=63 m=3 d=3 t=3 delta=1 p|n-1=True | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p= 3 N= 5 v=2 q=63 m=17 d=3 t=3 delta=1 p|n-1=True | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p= 3 N= 7 v=2 q=63 m=24 d=3 t=3 delta=1 p|n-1=True | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p= 5 N= 1 v=1 q=35 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p=11 N= 1 v=1 q=77 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p=13 N= 1 v=1 q=91 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p=17 N= 1 v=1 q=119 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p=19 N= 1 v=1 q=133 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p=23 N= 1 v=1 q=161 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p=29 N= 1 v=1 q=203 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n= 7 p=31 N= 1 v=1 q=217 m=3 d=3 t=3 delta=1 p|n-1=False | W=[1, 2, 3] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=11 p= 3 N= 1 v=2 q=99 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p= 5 N= 1 v=1 q=55 m=5 d=5 t=10 delta=0 p|n-1=True | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p= 5 N= 3 v=1 q=55 m=16 d=5 t=10 delta=0 p|n-1=True | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p= 5 N= 7 v=2 q=275 m=38 d=5 t=10 delta=0 p|n-1=True | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p= 7 N= 1 v=1 q=77 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p=13 N= 1 v=1 q=143 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p=17 N= 1 v=1 q=187 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p=19 N= 1 v=1 q=209 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p=23 N= 1 v=1 q=253 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p=29 N= 1 v=1 q=319 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=11 p=31 N= 1 v=1 q=341 m=5 d=5 t=10 delta=0 p|n-1=False | W=[1, 5, 5] | d-W1=0 pred=0 W2full=True OK  [0.0s]
