=== (A) shift identity, lattices and elementary divisors, even n ===
n= 4 (n mod 4 = 0) d= 1 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n= 6 (n mod 4 = 2) d= 1 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n= 8 (n mod 4 = 0) d= 2 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=10 (n mod 4 = 2) d= 2 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=12 (n mod 4 = 0) d= 2 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=14 (n mod 4 = 2) d= 3 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=16 (n mod 4 = 0) d= 4 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=18 (n mod 4 = 2) d= 3 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=20 (n mod 4 = 0) d= 4 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=22 (n mod 4 = 2) d= 5 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=24 (n mod 4 = 0) d= 4 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=26 (n mod 4 = 2) d= 6 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=28 (n mod 4 = 0) d= 6 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=30 (n mod 4 = 2) d= 4 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=32 (n mod 4 = 0) d= 8 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=34 (n mod 4 = 2) d= 8 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=36 (n mod 4 = 0) d= 6 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=38 (n mod 4 = 2) d= 9 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=40 (n mod 4 = 0) d= 8 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=42 (n mod 4 = 2) d= 6 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=44 (n mod 4 = 0) d=10 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=46 (n mod 4 = 2) d=11 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=48 (n mod 4 = 0) d= 8 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=50 (n mod 4 = 2) d=10 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=52 (n mod 4 = 0) d=12 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=54 (n mod 4 = 2) d= 9 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=56 (n mod 4 = 0) d=12 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=58 (n mod 4 = 2) d=14 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=60 (n mod 4 = 0) d= 8 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=62 (n mod 4 = 2) d=15 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=64 (n mod 4 = 0) d=16 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=66 (n mod 4 = 2) d=10 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=68 (n mod 4 = 0) d=16 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
n=70 (n mod 4 = 2) d=12 | hat=shift/2 True | L=2L' True | ed(M)=2ed(Mhat) True | odd parts equal True | rank_p equal True | OK
IDENTITY TOTAL=34 fail=0

=== (B) end-to-end: 4 | q', m = Br and Br-1 with B odd, p odd, p not dividing B ===
q'= 8 p= 3 B=1 m=   4 v=1 q=    24 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
q'= 8 p= 3 B=1 m=   3 v=1 q=    24 | S=B*hat_s True | W=[1, 2] | rank_p M=2 Mhat=2 [S]=2 | d= 2 #ed(p)=0 h^-=1 p|h^- False | 0.0s OK
