p=3 a=1 n=11 M=1 m=16 q=99 v=2 D=40 | W=[1, 0, 1, 5] | W1(A0)=5 rankS=5 dimV0=5 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=9 ctrl=9 | dimB=7 1+a+w=7 | ladder True | OK
p=3 a=1 n=13 M=1 m=19 q=117 v=2 D=48 | W=[1, 0, 1, 6] | W1(A0)=6 rankS=6 dimV0=6 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=10 ctrl=10 | dimB=8 1+a+w=8 | ladder True | OK
p=5 a=1 n=7 M=1 m=17 q=175 v=2 D=36 | W=[1, 0, 0, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=8 ctrl=8 | dimB=4 1+a+w=4 | ladder True | OK
p=5 a=1 n=9 M=1 m=22 q=225 v=2 D=36 | W=[1, 0, 0, 0, 1, 3] | W1(A0)=3 rankS=3 dimV0=3 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=9 ctrl=9 | dimB=5 1+a+w=5 | ladder True | OK
p=5 a=1 n=11 M=1 m=27 q=275 v=2 D=60 | W=[1, 0, 0, 0, 1, 5] | W1(A0)=5 rankS=5 dimV0=5 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=11 ctrl=11 | dimB=7 1+a+w=7 | ladder True | OK
p=7 a=1 n=5 M=1 m=17 q=245 v=2 D=32 | W=[1, 0, 0, 0, 0, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=10 ctrl=10 | dimB=4 1+a+w=4 | ladder True | OK
p=7 a=1 n=9 M=1 m=31 q=441 v=2 D=48 | W=[1, 0, 0, 0, 0, 0, 1, 3] | W1(A0)=3 rankS=3 dimV0=3 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=11 ctrl=11 | dimB=5 1+a+w=5 | ladder True | OK
p=3 a=1 n=5 M=5 m=37 q=135 v=3 D=16 | W=[1, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=6 ctrl=6 | dimB=4 1+a+w=4 | ladder True | OK
p=3 a=1 n=7 M=5 m=52 q=189 v=3 D=24 | W=[1, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=6 ctrl=6 | dimB=4 1+a+w=4 | ladder True | OK
p=5 a=1 n=7 M=3 m=52 q=175 v=2 D=36 | W=[1, 0, 0, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=8 ctrl=8 | dimB=4 1+a+w=4 | ladder True | OK
p=3 a=1 n=5 M=1 m=7 q=135 v=3 D=16 | W=[1, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=6 ctrl=6 | dimB=4 1+a+w=4 | ladder True | OK
p=5 a=1 n=7 M=1 m=17 q=875 v=3 D=36 | W=[1, 0, 0, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=8 ctrl=8 | dimB=4 1+a+w=4 | ladder True | OK
p=3 a=2 n=5 M=1 m=22 q=135 v=3 D=40 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=12 ctrl=12 | dimB=5 1+a+w=5 | ladder True | OK
p=3 a=2 n=7 M=1 m=31 q=189 v=3 D=60 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=12 ctrl=12 | dimB=5 1+a+w=5 | ladder True | OK
p=5 a=1 n=13 M=1 m=32 q=325 v=2 D=72 | W=[1, 0, 0, 0, 1, 6] | W1(A0)=6 rankS=6 dimV0=6 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=12 ctrl=12 | dimB=8 1+a+w=8 | ladder True | OK
p=3 a=1 n=17 M=1 m=25 q=153 v=2 D=64 | W=[1, 0, 1, 8] | W1(A0)=8 rankS=8 dimV0=8 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=12 ctrl=12 | dimB=10 1+a+w=10 | ladder True | OK
p=7 a=1 n=15 M=1 m=52 q=735 v=2 D=64 | W=[1, 0, 0, 0, 0, 0, 1, 3] | W1(A0)=3 rankS=3 dimV0=3 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=11 ctrl=11 | dimB=5 1+a+w=5 | ladder True | OK
p=5 a=1 n=21 M=1 m=52 q=525 v=2 D=72 | W=[1, 0, 0, 0, 1, 5] | W1(A0)=5 rankS=5 dimV0=5 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=11 ctrl=11 | dimB=7 1+a+w=7 | ladder True | OK
p=3 a=1 n=25 M=1 m=37 q=225 v=2 D=80 | W=[1, 0, 1, 10] | W1(A0)=10 rankS=10 dimV0=10 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=14 ctrl=14 | dimB=12 1+a+w=12 | ladder True | OK
p=3 a=1 n=19 M=1 m=28 q=171 v=2 D=72 | W=[1, 0, 1, 9] | W1(A0)=9 rankS=9 dimV0=9 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=13 ctrl=13 | dimB=11 1+a+w=11 | ladder True | OK
p=11 a=1 n=5 M=1 m=27 q=605 v=2 D=48 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2] | W1(A0)=2 rankS=2 dimV0=2 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=14 ctrl=14 | dimB=4 1+a+w=4 | ladder True | OK
p=5 a=1 n=11 M=3 m=82 q=275 v=2 D=60 | W=[1, 0, 0, 0, 1, 5] | W1(A0)=5 rankS=5 dimV0=5 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=11 ctrl=11 | dimB=7 1+a+w=7 | ladder True | OK
p=3 a=2 n=11 M=1 m=49 q=297 v=3 D=100 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | W1(A0)=5 rankS=5 dimV0=5 | piP in B: False | piP.V0 in B: True | dim(B+Rrho+piPV0)=15 ctrl=15 | dimB=8 1+a+w=8 | ladder True | OK
