(1) TRICOTOMIA  delta - 1 = [M2=0] + [M3=0]  fuera de los cuatro lugares
p    n   orbitas  h=1 fuera  fallos     en los lugares excluidos
7    3   2        0          0          0
7    4   2        0          0          0
7    5   1        0          0          0
11   3   2        1          0          0
11   4   4        2          0          0
11   5   6        3          0          0
11   6   6        3          0          0
11   7   4        2          0          0
13   3   3        1          0          0
13   4   7        3          0          0
13   5   10       7          0          0
13   6   14       9          0          0
13   7   14       9          0          0
17   3   3        2          0          0
17   4   11       7          0          0
17   5   25       21         0          0
17   6   49       42         0          0
17   7   75       68         0          0
19   3   4        2          0          0
19   4   14       9          0          0
19   5   36       32         0          0
19   6   86       74         0          0
19   7   154      141        0          1
orbitas h=1 fuera de los lugares: 438 ; fallos de la tricotomia: 0

(2) z(n,p) = orbitas con delta = 0, con el factor h/(p-1)
p    n   medido     formula        ok
7    3   2          2              si
7    4   2          2              si
7    5   1          1              si
11   3   1          1              si
11   4   2          2              si
11   5   3          3              si
11   6   3          3              si
11   7   2          2              si
13   3   2          2              si
13   4   4          4              si
13   5   3          3              si
13   6   5          5              si
13   7   5          5              si
17   3   1          1              si
17   4   4          4              si
17   5   4          4              si
17   6   7          7              si
17   7   7          7              si
19   3   2          2              si
19   4   5          5              si
19   5   4          4              si
19   6   12         12             si
19   7   12         12             si
casos: 23 ; fallos: 0

VEREDICTO: tricotomia SOBREVIVE ; z(n,p) SOBREVIVE
