============================================================================================
n = 5 ; n! = 120 ; genero g_n = 4 ; umbral de la COTA (2g)^2 = 64
barrido: primos de 6 a 700
============================================================================================
p      pares (a,b)  orbitas    p/n!             hay?
7      0            0          0.058            no
11     0            0          0.092            no
13     0            0          0.108            no
17     0            0          0.142            no
19     0            0          0.158            no
23     0            0          0.192            no
29     0            0          0.242            no
31     0            0          0.258            no
67     66           1          0.558            SI
79     78           1          0.658            SI
83     82           1          0.692            SI
101    100          1          0.842            SI
103    102          1          0.858            SI
107    106          1          0.892            SI
109    108          1          0.908            SI
113    112          1          0.942            SI
127    126          1          1.058            SI
137    136          1          1.142            SI
139    138          1          1.158            SI
149    148          1          1.242            SI
151    150          1          1.258            SI
157    156          1          1.308            SI
163    162          1          1.358            SI
167    166          1          1.392            SI
173    344          2          1.442            SI
179    356          2          1.492            SI
181    180          1          1.508            SI
191    380          2          1.592            SI
193    384          2          1.608            SI
197    392          2          1.642            SI
199    198          1          1.658            SI
211    420          2          1.758            SI
223    444          2          1.858            SI
227    226          1          1.892            SI
229    228          1          1.908            SI
233    232          1          1.942            SI
239    476          2          1.992            SI
241    240          1          2.008            SI
251    250          1          2.092            SI
257    512          2          2.142            SI
263    524          2          2.192            SI
269    536          2          2.242            SI
271    540          2          2.258            SI
277    276          1          2.308            SI
281    560          2          2.342            SI
283    564          2          2.358            SI
293    584          2          2.442            SI
307    612          2          2.558            SI
311    930          3          2.592            SI
313    312          1          2.608            SI
317    632          2          2.642            SI
331    660          2          2.758            SI
337    1008         3          2.808            SI
347    1038         3          2.892            SI
349    1044         3          2.908            SI
353    704          2          2.942            SI
359    716          2          2.992            SI
367    1464         4          3.058            SI
373    744          2          3.108            SI
379    1512         4          3.158            SI
383    1146         3          3.192            SI
389    776          2          3.242            SI
397    1584         4          3.308            SI
401    1200         3          3.342            SI
409    1224         3          3.408            SI
419    1672         4          3.492            SI
421    1680         4          3.508            SI
431    1720         4          3.592            SI
433    1728         4          3.608            SI
439    2190         5          3.658            SI
443    1768         4          3.692            SI
449    1792         4          3.742            SI
457    1368         3          3.808            SI
461    1380         3          3.842            SI
463    1848         4          3.858            SI
467    1398         3          3.892            SI
479    1434         3          3.992            SI
487    1944         4          4.058            SI
491    1470         3          4.092            SI
499    1494         3          4.158            SI
503    1506         3          4.192            SI
509    2540         5          4.242            SI
521    2080         4          4.342            SI
523    1566         3          4.358            SI
541    1620         3          4.508            SI
547    2184         4          4.558            SI
557    2224         4          4.642            SI
563    2810         5          4.692            SI
569    2840         5          4.742            SI
571    2850         5          4.758            SI
577    2880         5          4.808            SI
587    3516         6          4.892            SI
593    2960         5          4.942            SI
599    2392         4          4.992            SI
601    3000         5          5.008            SI
607    2424         4          5.058            SI
613    3672         6          5.108            SI
617    3080         5          5.142            SI
619    2472         4          5.158            SI
631    3150         5          5.258            SI
641    1920         3          5.342            SI
643    3210         5          5.358            SI
647    3230         5          5.392            SI
653    3260         5          5.442            SI
659    3290         5          5.492            SI
661    2640         4          5.508            SI
673    2688         4          5.608            SI
677    4732         7          5.642            SI
683    4774         7          5.692            SI
691    3450         5          5.758            SI

  PRIMERA APARICION: p = 67,  que es 0.558 veces n! = 120   (la cota exigia p > 64)
  El barrido empezo en 6, o sea es una primera aparicion de verdad.

============================================================================================
n = 6 ; n! = 720 ; genero g_n = 49 ; umbral de la COTA (2g)^2 = 9604
barrido: primos de 7 a 700
============================================================================================
p      pares (a,b)  orbitas    p/n!             hay?
7      0            0          0.010            no
11     0            0          0.015            no
13     0            0          0.018            no
17     0            0          0.024            no
19     0            0          0.026            no
23     0            0          0.032            no
29     0            0          0.040            no
31     0            0          0.043            no
163    162          1          0.226            SI
191    190          1          0.265            SI
197    196          1          0.274            SI
229    228          1          0.318            SI
239    238          1          0.332            SI
257    256          1          0.357            SI
293    292          1          0.407            SI
307    306          1          0.426            SI
311    310          1          0.432            SI
337    336          1          0.468            SI
349    348          1          0.485            SI
353    352          1          0.490            SI
359    358          1          0.499            SI
419    418          1          0.582            SI
421    420          1          0.585            SI
439    438          1          0.610            SI
457    456          1          0.635            SI
463    462          1          0.643            SI
467    932          2          0.649            SI
479    478          1          0.665            SI
499    498          1          0.693            SI
521    520          1          0.724            SI
557    556          1          0.774            SI
569    568          1          0.790            SI
571    570          1          0.793            SI
577    576          1          0.801            SI
587    1172         2          0.815            SI
599    598          1          0.832            SI
607    606          1          0.843            SI
617    616          1          0.857            SI
619    618          1          0.860            SI
641    640          1          0.890            SI
643    642          1          0.893            SI
647    646          1          0.899            SI
653    652          1          0.907            SI
659    658          1          0.915            SI
673    1344         2          0.935            SI
677    676          1          0.940            SI
691    1380         2          0.960            SI

  PRIMERA APARICION: p = 163,  que es 0.226 veces n! = 720   (la cota exigia p > 9604)
  El barrido empezo en 7, o sea es una primera aparicion de verdad.

============================================================================================
n = 7 ; n! = 5040 ; genero g_n = 481 ; umbral de la COTA (2g)^2 = 925444
barrido: primos de 8 a 700
============================================================================================
p      pares (a,b)  orbitas    p/n!             hay?
11     0            0          0.002            no
13     0            0          0.003            no
17     0            0          0.003            no
19     0            0          0.004            no
23     0            0          0.005            no
29     0            0          0.006            no
31     0            0          0.006            no
37     0            0          0.007            no
601    600          1          0.119            SI
641    640          1          0.127            SI

  PRIMERA APARICION: p = 601,  que es 0.119 veces n! = 5040   (la cota exigia p > 925444)
  El barrido empezo en 8, o sea es una primera aparicion de verdad.

============================================================================================
QUE SE PUEDE DECIR Y QUE NO
============================================================================================
  SI: la cota de Hasse-Weil es cuadraticamente pesimista, porque (2g_n)^2 ~ (n!/2)^2
      mientras que el numero esperado de columnas extremas es p/n!.  Eso es aritmetica.
  NO: que el fenomeno 'empieza' en p ~ n!.  p/n! >= 1 es cuando se espera UNA en promedio,
      y la primera aparicion medida cae MUY por debajo --- una heuristica sobre el numero
      esperado no fija el primer primo, y aqui el primero llega bastante antes.
