# tipo n q p qprima dim W1 vp
sombra 3 12 2 3 2 2 1
sombra 3 15 5 3 2 2 1
sombra 3 21 7 3 2 2 1
sombra 3 24 2 3 2 2 1
sombra 3 33 11 3 2 2 1
sombra 3 39 13 3 2 2 1
sombra 3 48 2 3 2 2 1
sombra 3 51 17 3 2 2 1
sombra 3 57 19 3 2 2 1
sombra 3 69 23 3 2 2 1
sombra 3 75 5 3 2 2 1
real 4 10 2 5 2 1 2
real 4 12 3 8 2 2 1
sombra 4 12 2 3 2 2 1
sombra 4 12 3 4 2 2 1
real 4 15 3 10 2 2 1
sombra 4 15 5 3 2 2 1
real 4 20 2 5 2 1 2
real 4 20 5 8 2 2 1
sombra 4 20 5 4 2 2 1
sombra 4 21 7 3 2 2 1
sombra 4 24 2 3 2 2 1
real 4 28 7 8 2 2 1
sombra 4 28 7 4 2 2 1
sombra 4 33 11 3 2 2 1
real 4 35 7 10 2 2 1
real 4 36 3 8 2 2 1
sombra 4 36 3 4 2 2 1
sombra 4 39 13 3 2 2 1
real 4 40 2 5 2 1 2
real 4 44 11 8 2 2 1
sombra 4 44 11 4 2 2 1
real 4 45 3 10 2 2 1
sombra 4 48 2 3 2 2 1
sombra 4 51 17 3 2 2 1
real 4 52 13 8 2 2 1
sombra 4 52 13 4 2 2 1
real 4 55 11 10 2 2 1
sombra 4 57 19 3 2 2 1
real 4 65 13 10 2 2 1
sombra 4 68 17 4 2 2 1
sombra 4 69 23 3 2 2 1
sombra 4 75 5 3 2 2 1
sombra 4 76 19 4 2 2 1
sombra 5 12 3 4 2 2 1
real 5 15 3 5 2 2 1
sombra 5 15 3 5 4 3 4
real 5 20 2 5 2 2 1
sombra 5 20 2 5 4 3 4
sombra 5 20 5 4 2 2 1
sombra 5 28 7 4 2 2 1
real 5 35 7 5 2 2 1
sombra 5 35 7 5 4 3 4
sombra 5 36 3 4 2 2 1
real 5 40 2 5 2 2 1
sombra 5 40 2 5 4 3 4
sombra 5 44 11 4 2 2 1
real 5 45 3 5 2 2 1
sombra 5 45 3 5 4 3 4
sombra 5 52 13 4 2 2 1
real 5 55 11 5 2 2 1
sombra 5 55 11 5 4 3 4
real 5 65 13 5 2 2 1
sombra 5 65 13 5 4 3 4
sombra 5 68 17 4 2 2 1
sombra 5 76 19 4 2 2 1
real 5 80 2 5 2 2 1
sombra 5 80 2 5 4 3 4
real 6 10 2 5 2 1 2
real 6 12 2 3 1 0 2
sombra 6 12 2 3 2 1 2
real 6 14 2 7 3 1 4
real 6 15 3 10 2 2 1
sombra 6 15 3 5 4 3 4
sombra 6 15 5 3 2 2 1
real 6 18 3 4 1 0 1
real 6 20 2 5 2 1 2
sombra 6 20 2 5 4 3 4
real 6 21 3 14 3 3 2
sombra 6 21 7 3 2 2 1
real 6 24 2 3 1 0 2
sombra 6 24 2 3 2 1 2
real 6 28 2 7 3 1 4
real 6 30 5 12 2 2 1
sombra 6 30 5 6 2 2 1
sombra 6 33 11 3 2 2 1
real 6 35 5 14 3 3 2
real 6 35 7 10 2 2 1
sombra 6 35 7 5 4 3 4
sombra 6 39 13 3 2 2 1
real 6 40 2 5 2 1 2
sombra 6 40 2 5 4 3 4
real 6 42 7 12 2 2 1
sombra 6 42 7 6 2 2 1
real 6 45 3 10 2 2 1
sombra 6 45 3 5 4 3 4
real 6 48 2 3 1 0 2
sombra 6 48 2 3 2 1 2
sombra 6 51 17 3 2 2 1
real 6 54 3 4 1 0 1
real 6 55 11 10 2 2 1
sombra 6 55 11 5 4 3 4
real 6 56 2 7 3 1 4
sombra 6 57 19 3 2 2 1
real 6 63 3 14 3 3 2
real 6 65 13 10 2 2 1
sombra 6 65 13 5 4 3 4
real 6 66 11 12 2 2 1
sombra 6 66 11 6 2 2 1
sombra 6 69 23 3 2 2 1
sombra 6 75 5 3 2 2 1
real 6 78 13 12 2 2 1
sombra 6 78 13 6 2 2 1
sombra 6 80 2 5 4 3 4
sombra 7 12 2 3 2 1 2
sombra 7 15 5 3 2 2 1
real 7 21 3 7 3 2 3
sombra 7 21 3 7 6 4 7
sombra 7 21 7 3 2 2 1
real 7 24 3 8 2 2 1
sombra 7 24 2 3 2 1 2
real 7 28 2 7 3 2 3
sombra 7 28 2 7 6 4 7
sombra 7 30 5 6 2 2 1
sombra 7 33 11 3 2 2 1
real 7 35 5 7 3 2 3
sombra 7 35 5 7 6 4 7
sombra 7 39 13 3 2 2 1
real 7 40 5 8 2 2 1
sombra 7 42 7 6 2 2 1
sombra 7 48 2 3 2 1 2
sombra 7 51 17 3 2 2 1
real 7 56 2 7 3 2 3
real 7 56 7 8 2 2 1
sombra 7 56 2 7 6 4 7
sombra 7 57 19 3 2 2 1
real 7 63 3 7 3 2 3
sombra 7 63 3 7 6 4 7
sombra 7 66 11 6 2 2 1
sombra 7 69 23 3 2 2 1
real 7 72 3 8 2 2 1
sombra 7 75 5 3 2 2 1
sombra 7 78 13 6 2 2 1
real 8 12 3 8 2 2 1
sombra 8 12 3 4 2 2 1
real 8 14 2 7 3 1 4
real 8 18 2 9 3 1 4
real 8 20 5 8 2 2 1
sombra 8 20 5 4 2 2 1
real 8 21 3 14 3 3 2
sombra 8 21 3 7 6 4 7
real 8 24 3 16 4 4 3
sombra 8 24 3 8 4 3 4
real 8 28 2 7 3 1 4
real 8 28 7 8 2 2 1
sombra 8 28 2 7 6 4 7
sombra 8 28 7 4 2 2 1
real 8 35 5 14 3 3 2
sombra 8 35 5 7 6 4 7
real 8 36 2 9 3 1 4
real 8 36 3 8 2 2 1
sombra 8 36 3 4 2 2 1
real 8 40 5 16 4 4 3
sombra 8 40 5 8 4 3 4
real 8 44 11 8 2 2 1
sombra 8 44 11 4 2 2 1
real 8 45 5 18 3 3 2
real 8 52 13 8 2 2 1
sombra 8 52 13 4 2 2 1
real 8 56 2 7 3 1 4
real 8 56 7 16 4 4 3
sombra 8 56 2 7 6 4 7
sombra 8 56 7 8 4 3 4
real 8 63 3 14 3 3 2
real 8 63 7 18 3 3 2
sombra 8 63 3 7 6 4 7
sombra 8 68 17 4 2 2 1
real 8 72 2 9 3 1 4
real 8 72 3 16 4 4 3
sombra 8 72 3 8 4 3 4
sombra 8 76 19 4 2 2 1
sombra 9 12 2 3 2 2 1
sombra 9 12 3 4 2 2 1
real 9 15 3 5 2 2 1
sombra 9 15 5 3 2 2 1
real 9 20 2 5 2 1 2
sombra 9 20 5 4 2 2 1
sombra 9 21 7 3 2 2 1
real 9 24 3 8 2 2 1
sombra 9 24 2 3 2 2 1
sombra 9 24 3 8 4 3 4
sombra 9 28 7 4 2 2 1
real 9 30 3 10 2 2 1
sombra 9 33 11 3 2 2 1
real 9 35 7 5 2 2 1
real 9 36 2 9 3 3 2
sombra 9 36 2 9 6 4 7
sombra 9 36 3 4 2 2 1
sombra 9 39 13 3 2 2 1
real 9 40 2 5 2 1 2
real 9 40 5 8 2 2 1
sombra 9 40 5 8 4 3 4
sombra 9 44 11 4 2 2 1
real 9 45 3 5 2 2 1
real 9 45 5 9 3 3 2
sombra 9 45 5 9 6 4 7
sombra 9 48 2 3 2 2 1
sombra 9 51 17 3 2 2 1
sombra 9 52 13 4 2 2 1
real 9 55 11 5 2 2 1
real 9 56 7 8 2 2 1
sombra 9 56 7 8 4 3 4
sombra 9 57 19 3 2 2 1
real 9 63 7 9 3 3 2
sombra 9 63 7 9 6 4 7
real 9 65 13 5 2 2 1
sombra 9 68 17 4 2 2 1
sombra 9 69 23 3 2 2 1
real 9 70 7 10 2 2 1
real 9 72 2 9 3 3 2
real 9 72 3 8 2 2 1
sombra 9 72 2 9 6 4 7
sombra 9 72 3 8 4 3 4
sombra 9 75 5 3 2 2 1
sombra 9 76 19 4 2 2 1
real 9 80 2 5 2 1 2
sombra 10 12 2 3 2 2 1
real 10 15 3 10 2 2 1
sombra 10 15 3 5 4 3 4
sombra 10 15 5 3 2 2 1
real 10 18 2 9 3 1 4
real 10 20 2 5 2 0 6
sombra 10 20 2 5 4 1 8
sombra 10 21 7 3 2 2 1
real 10 22 2 11 5 1 8
sombra 10 24 2 3 2 2 1
real 10 30 3 20 4 4 3
sombra 10 30 3 10 4 3 4
real 10 33 3 22 5 5 4
sombra 10 33 11 3 2 2 1
real 10 35 7 10 2 2 1
sombra 10 35 7 5 4 3 4
real 10 36 2 9 3 1 4
sombra 10 36 2 9 6 4 7
sombra 10 39 13 3 2 2 1
real 10 40 2 5 2 0 6
sombra 10 40 2 5 4 1 8
real 10 44 2 11 5 1 8
real 10 45 3 10 2 2 1
real 10 45 5 18 3 3 2
sombra 10 45 3 5 4 3 4
sombra 10 45 5 9 6 4 7
sombra 10 48 2 3 2 2 1
real 10 50 5 4 1 0 3
sombra 10 51 17 3 2 2 1
real 10 55 5 22 5 5 4
real 10 55 11 10 2 2 1
sombra 10 55 11 5 4 3 4
sombra 10 57 19 3 2 2 1
real 10 63 7 18 3 3 2
sombra 10 63 7 9 6 4 7
real 10 65 13 10 2 2 1
sombra 10 65 13 5 4 3 4
sombra 10 69 23 3 2 2 1
real 10 70 7 20 4 4 3
sombra 10 70 7 10 4 3 4
real 10 72 2 9 3 1 4
sombra 10 72 2 9 6 4 7
sombra 10 75 5 3 2 2 1
sombra 10 80 2 5 4 1 8
real 11 15 3 5 2 2 1
sombra 11 15 3 5 4 3 4
real 11 20 2 5 2 1 2
sombra 11 20 2 5 4 1 8
real 11 24 2 3 1 0 1
real 11 30 3 10 2 2 1
sombra 11 30 3 10 4 3 4
real 11 33 3 11 5 5 4
sombra 11 33 3 11 10 6 13
real 11 35 7 5 2 2 1
sombra 11 35 7 5 4 3 4
real 11 36 3 4 1 0 1
real 11 40 2 5 2 1 2
sombra 11 40 2 5 4 1 8
real 11 44 2 11 5 5 4
sombra 11 44 2 11 10 6 13
real 11 45 3 5 2 2 1
sombra 11 45 3 5 4 3 4
real 11 48 2 3 1 0 1
real 11 55 5 11 5 5 4
real 11 55 11 5 2 2 1
sombra 11 55 5 11 10 6 13
sombra 11 55 11 5 4 3 4
real 11 60 5 12 2 2 1
real 11 65 13 5 2 2 1
sombra 11 65 13 5 4 3 4
real 11 70 7 10 2 2 1
sombra 11 70 7 10 4 3 4
real 11 80 2 5 2 1 2
sombra 11 80 2 5 4 1 8
sombra 12 15 5 3 2 2 1
real 12 18 3 4 1 0 1
real 12 20 5 8 2 2 1
sombra 12 20 5 4 2 2 1
sombra 12 21 7 3 2 2 1
real 12 22 2 11 5 1 8
real 12 24 2 3 1 0 5
sombra 12 24 2 3 2 0 6
real 12 26 2 13 6 1 10
real 12 28 7 8 2 2 1
sombra 12 28 7 4 2 2 1
real 12 30 5 12 2 2 1
sombra 12 30 5 6 2 2 1
real 12 33 3 22 5 5 4
sombra 12 33 3 11 10 6 13
sombra 12 33 11 3 2 2 1
real 12 36 3 8 2 0 4
sombra 12 36 3 4 2 0 5
real 12 39 3 26 6 6 5
sombra 12 39 13 3 2 2 1
real 12 42 7 12 2 2 1
sombra 12 42 7 6 2 2 1
real 12 44 2 11 5 1 8
real 12 44 11 8 2 2 1
sombra 12 44 2 11 10 6 13
sombra 12 44 11 4 2 2 1
real 12 48 2 3 1 0 5
sombra 12 48 2 3 2 0 6
sombra 12 51 17 3 2 2 1
real 12 52 2 13 6 1 10
real 12 52 13 8 2 2 1
sombra 12 52 13 4 2 2 1
real 12 54 3 4 1 0 1
real 12 55 5 22 5 5 4
sombra 12 55 5 11 10 6 13
sombra 12 57 19 3 2 2 1
real 12 60 5 24 4 4 3
sombra 12 60 5 12 4 3 4
real 12 65 5 26 6 6 5
real 12 66 11 12 2 2 1
sombra 12 66 11 6 2 2 1
sombra 12 68 17 4 2 2 1
sombra 12 69 23 3 2 2 1
sombra 12 75 5 3 2 2 1
sombra 12 76 19 4 2 2 1
real 12 78 13 12 2 2 1
sombra 12 78 13 6 2 2 1
sombra 13 15 5 3 2 2 1
sombra 13 20 5 4 2 2 1
real 13 21 3 7 3 3 2
sombra 13 21 7 3 2 2 1
real 13 24 2 3 1 0 1
sombra 13 24 2 3 2 0 6
real 13 28 2 7 3 1 4
sombra 13 28 7 4 2 2 1
sombra 13 30 5 6 2 2 1
sombra 13 33 11 3 2 2 1
real 13 35 5 7 3 3 2
real 13 36 3 4 1 0 1
sombra 13 36 3 4 2 0 5
real 13 39 3 13 6 6 5
sombra 13 39 3 13 12 7 16
sombra 13 39 13 3 2 2 1
real 13 42 3 14 3 3 2
sombra 13 42 7 6 2 2 1
sombra 13 44 11 4 2 2 1
real 13 48 2 3 1 0 1
sombra 13 48 2 3 2 0 6
sombra 13 51 17 3 2 2 1
real 13 52 2 13 6 6 5
sombra 13 52 2 13 12 7 16
sombra 13 52 13 4 2 2 1
real 13 56 2 7 3 1 4
sombra 13 57 19 3 2 2 1
real 13 60 5 12 2 2 1
sombra 13 60 5 12 4 3 4
real 13 63 3 7 3 3 2
real 13 65 5 13 6 6 5
sombra 13 65 5 13 12 7 16
sombra 13 66 11 6 2 2 1
sombra 13 68 17 4 2 2 1
sombra 13 69 23 3 2 2 1
real 13 70 5 14 3 3 2
sombra 13 75 5 3 2 2 1
sombra 13 76 19 4 2 2 1
sombra 13 78 13 6 2 2 1
real 14 10 2 5 2 1 2
real 14 20 2 5 2 1 2
real 14 21 3 14 3 2 3
sombra 14 21 3 7 6 4 7
real 14 26 2 13 6 1 10
real 14 28 2 7 3 0 12
sombra 14 28 2 7 6 1 14
real 14 30 2 15 4 1 6
real 14 35 5 14 3 2 3
real 14 35 7 10 2 2 1
sombra 14 35 5 7 6 4 7
real 14 39 3 26 6 6 5
sombra 14 39 3 13 12 7 16
real 14 40 2 5 2 1 2
real 14 42 3 28 6 5 6
sombra 14 42 3 14 6 4 7
real 14 45 3 10 2 0 4
real 14 52 2 13 6 1 10
sombra 14 52 2 13 12 7 16
real 14 55 11 10 2 2 1
real 14 56 2 7 3 0 12
sombra 14 56 2 7 6 1 14
real 14 60 2 15 4 1 6
real 14 63 3 14 3 2 3
sombra 14 63 3 7 6 4 7
real 14 65 5 26 6 6 5
real 14 65 13 10 2 2 1
sombra 14 65 5 13 12 7 16
real 14 70 5 28 6 5 6
sombra 14 70 5 14 6 4 7
real 14 75 5 6 1 0 3
