a,b,N,pares,L,D,cota_sobre_D2
5000,5500,268,13,39667,958228,4.449386e-01
5501,6051,292,14,47138,1147508,4.131614e-01
6052,6657,321,14,51100,1394549,3.724928e-01
6658,7323,346,14,56128,1665078,3.478145e-01
7324,8056,376,14,62140,2005972,3.190497e-01
8057,8862,410,14,67830,2411096,3.032903e-01
8863,9749,453,14,74332,2953801,2.690358e-01
9750,10725,495,14,81850,3566407,2.457098e-01
10726,11798,531,15,96409,4218409,2.337869e-01
11799,12978,572,15,105821,4988766,2.224997e-01
12979,14276,632,15,116193,6117416,1.969590e-01
14277,15704,684,15,127289,7273000,1.854795e-01
15705,17275,756,15,139687,8894996,1.701328e-01
17276,19003,809,15,153885,10494753,1.626850e-01
19004,20904,882,15,168845,12596950,1.503082e-01
20905,22995,965,15,186195,15204743,1.373306e-01
22996,25295,1053,16,217194,18291747,1.263046e-01
25296,27825,1144,16,238774,21878970,1.175106e-01
27826,30608,1252,16,261924,26404008,1.073966e-01
30609,33669,1359,16,288376,31526869,1.032528e-01
33670,37037,1487,16,317378,38148521,9.386957e-02
37038,40741,1625,16,348810,45858123,8.646401e-02
40742,44816,1758,16,383310,54538592,8.136999e-02
44817,49298,1928,17,446419,65945870,7.407737e-02
49299,54228,2092,17,491513,78768172,6.911019e-02
54229,59651,2288,17,539579,94766372,6.355029e-02
59652,65617,2510,17,593309,114701260,5.941137e-02
65618,72179,2721,17,652355,136674803,5.569453e-02
72180,79398,2973,17,716885,164449991,5.120564e-02
79399,87338,3231,17,789585,196790753,4.759455e-02
87339,96072,3532,18,916256,236528056,4.385125e-02
96073,105680,3866,18,1006990,285296460,4.011830e-02
105681,116249,4196,18,1106724,340781300,3.742596e-02
116250,127875,4573,18,1218760,408615361,3.464850e-02
127876,140663,5008,18,1339416,492282150,3.266697e-02
140664,154730,5466,18,1472668,591618170,3.010496e-02
154731,170204,5963,18,1619806,710393211,2.779132e-02
170205,187225,6473,18,1782654,847877533,2.596706e-02
187226,205948,7090,19,2063979,1022914168,2.374607e-02
205949,226543,7724,19,2269635,1224974962,2.203916e-02
226544,249198,8444,19,2496107,1474100064,2.025710e-02
249199,274118,9217,19,2744333,1771192861,1.918643e-02
274119,301530,10057,19,3018909,2125663733,1.773028e-02
301531,331684,10962,19,3321819,2547778912,1.642719e-02
331685,364853,12009,19,3652001,3073343849,1.502605e-02
364854,401339,13093,20,4218318,3685613017,1.390682e-02
401340,441474,14283,20,4638990,4422985885,1.285279e-02
441475,485622,15599,20,5103988,5315289565,1.184553e-02
485623,534185,17025,20,5612556,6380386363,1.123317e-02
534186,587604,18623,20,6174734,7680910191,1.031692e-02
587605,646365,20314,20,6791252,9219834868,9.530342e-03
646366,711002,22134,20,7469316,11049911122,8.831127e-03
711003,782103,24232,21,8607681,13307842286,8.103970e-03
782104,860314,26454,21,9470275,15980430778,7.480235e-03
860315,946346,28891,21,10414381,19197939679,6.898614e-03
946347,1040981,31552,21,11455931,23072412714,6.357167e-03
1040982,1145080,34460,21,12599775,27713540518,6.016733e-03
1145081,1259589,37636,21,13860885,33300001836,5.546708e-03
1259590,1385549,41137,21,15247267,40044618575,5.105222e-03
1385550,1524105,44934,21,16771463,48112702884,4.707197e-03
1524106,1676516,49107,22,19285780,57859073279,4.332289e-03
1676517,1844168,53609,22,21213520,69474005247,3.999393e-03
1844169,2028585,58576,22,23334648,83496442796,3.685369e-03
2028586,2231444,64044,22,25668194,100451689022,3.474716e-03
2231445,2454589,69953,22,28234342,120683617929,3.204170e-03
2454590,2700049,76453,22,31056172,145065721289,2.951625e-03
2700050,2970055,83539,22,34162592,174412287961,2.717785e-03
2970056,3267061,91303,23,39211125,209667250359,2.503147e-03
3267062,3593768,99873,23,43132129,252315758701,2.300579e-03
3593769,3953145,109014,23,47442259,302858737394,2.125318e-03
3953146,4348460,119199,23,52188427,364434946605,2.001782e-03
4348461,4783307,130251,23,57406639,437958800103,1.844883e-03
4783308,5261638,142427,23,63145621,526828083689,1.696975e-03
5261639,5787802,155715,23,69462453,633695264989,1.561099e-03
5787803,6366583,170138,24,79589064,761480403630,1.438972e-03
6366584,7003242,186077,24,87547924,916228461667,1.322941e-03
7003243,7703567,203420,24,96301540,1101916640642,1.217387e-03
7703568,8473924,222404,24,105931442,1325199516444,1.147268e-03
8473925,9321317,243100,24,116524262,1593181631722,1.056513e-03
9321318,10253449,265790,24,128174884,1916457555186,9.718187e-04
10253450,11278795,290570,24,140993082,2304330503804,8.946895e-04
11278796,12406675,317823,25,161295713,2772783172923,8.224474e-04
12406676,13647343,347613,25,177424049,3336154481455,7.561810e-04
13647344,15012078,379961,25,195165849,4011088326243,6.962605e-04
15012079,16513286,415546,25,214685851,4825539439030,6.402986e-04
16513287,18164615,454438,25,236147747,5804956617432,6.027510e-04
18164616,19981077,497129,25,259761297,6985419669769,5.540245e-04
19981078,21979185,543595,25,285739273,8402722686239,5.096265e-04
21979186,24177104,594554,25,314312001,10109963271420,4.685663e-04
24177105,26594815,650234,26,359039422,12161724577756,4.309808e-04
26594816,29254297,711247,26,394941486,14633883956247,3.961933e-04
29254298,32179727,777866,26,434436308,17604408187256,3.643859e-04
32179728,35397700,850905,26,477878392,21185232788957,3.425869e-04
35397701,38937471,930650,26,525664620,25486353638342,3.150648e-04
38937472,42831219,1018286,26,578233452,30676665579824,2.894524e-04
42831220,47114342,1113916,26,636053666,36913455624420,2.660738e-04
47114343,51825777,1218701,27,725570951,44424745533769,2.445117e-04
51825778,57008355,1333185,27,798124487,53459519220877,2.247385e-04
57008356,62709191,1458428,27,877940011,64330629227322,2.065713e-04
62709192,68980111,1595648,27,965735397,77417790391654,1.941057e-04
68980112,75878123,1746035,27,1062307577,93187692213931,1.783121e-04
75878124,83465936,1910401,27,1168535789,112163009708681,1.638237e-04
83465937,91812530,2089969,27,1285385721,134976547115987,1.505696e-04
91812531,99999999,2314910,27,1400011471,163871086499054,1.319907e-04
