   m     a      a/a_G   a/a_mix
  20        9    2.86     2.30
  23        5    0.92     0.78
  24       14    2.76     2.19
  27        5    1.31     0.93
  28        8    2.19     1.44
  31       19    1.43     1.07
  32       22    1.79     1.27
  35       19    1.69     1.23
  36       16    1.65     1.22
  39       35    1.92     1.47
  40       32    1.82     1.38
  43       74    1.12     0.87
  44       86    1.35     1.04
  47      134    1.15     0.88
  48      137    1.25     0.96
  51      144    1.58     1.18
  52      122    1.37     1.00
  55      245    1.46     1.00
  56      260    1.59     1.06
  59      395    1.26     0.89
  60      439    1.43     0.99
  63      763    1.33     0.93
  64      837    1.61     1.13
  67     1384    1.38     0.98
  68     1391    1.41     1.02
  71     2476    1.30     0.96
  72     2578    1.43     1.01
  75     4578    1.35     0.95
  76     5138    1.54     1.08
  79     8741    1.36     0.98
  80     8715    1.39     1.01
  83    15894    1.41     1.01
  84    15747    1.41     1.01
  87    15218    1.40     1.01
  88    15061    1.41     1.01
  91    28364    1.38     0.99
  92    28492    1.41     1.00
  95    27154    1.38     1.00
  96    26679    1.39     0.97
  99    53153    1.49     0.99
 100    49645    1.49     0.99
 103   185779    1.43     0.98
 104   184540    1.43     0.98
 107   348391    1.38     0.97
 108   357970    1.47     1.00
 111   679039    1.42     0.99
 112   668159    1.43     1.00
 115  1276704    1.39     0.99
 116  1259462    1.39     0.99
 119  1237260    1.41     0.99
 120  1223219    1.41     0.99
